ethnicity,region,total,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 and over
White: Other White,wales,55932,3665,1554,908,2249,373,904,1205,5285,8618,7609,5034,3972,3321,2951,2165,1680,1196,899,765,834,745
Mixed/multiple ethnic group: Total,wales,31521,4549,2214,1217,3342,662,1395,1471,3264,2402,1976,1625,1728,1589,1131,817,613,529,373,290,179,155
Mixed/multiple ethnic group: White and Black Caribbean,wales,11099,1270,668,391,1224,260,510,603,1152,837,621,614,672,613,420,297,267,219,165,136,77,83
Mixed/multiple ethnic group: White and Black African,wales,4424,905,348,174,437,83,183,167,382,295,277,222,191,192,189,130,68,83,38,22,24,14
Mixed/multiple ethnic group: White and Asian,wales,9019,1462,743,381,1016,183,425,447,1044,647,550,410,431,433,257,188,119,82,76,56,38,31
Mixed/multiple ethnic group: Other Mixed,wales,6979,912,455,271,665,136,277,254,686,623,528,379,434,351,265,202,159,145,94,76,40,27
Asian/Asian British: Total,wales,70128,6422,3373,1932,4550,894,1819,2284,9205,7160,7242,6853,5215,3438,3029,2221,1493,981,1038,567,258,154
Asian/Asian British: Indian,wales,17256,1569,680,349,685,133,246,465,2237,2142,2081,1816,1262,827,708,604,494,368,311,155,78,46
Asian/Asian British: Pakistani,wales,12229,1308,761,445,1047,215,386,400,1120,1153,1221,947,872,522,564,451,212,175,241,127,42,20
Asian/Asian British: Bangladeshi,wales,10687,1262,731,466,1104,186,362,384,1039,1041,1089,915,655,424,354,229,117,96,120,71,25,17
Asian/Asian British: Chinese,wales,13638,888,310,209,559,149,419,573,3342,1544,1111,928,819,736,700,461,330,153,163,139,63,42
Asian/Asian British: Other Asian,wales,16318,1395,891,463,1155,211,406,462,1467,1280,1740,2247,1607,929,703,476,340,189,203,75,50,29
Black/African/Caribbean/Black British: Total,wales,18276,1503,798,464,1210,237,538,628,1737,2021,2060,1654,1526,1353,833,452,287,244,279,216,120,116
Black/African/Caribbean/Black British: African,wales,11887,1104,542,299,842,173,384,432,1338,1617,1566,1204,897,577,363,182,133,65,70,39,26,34
Black/African/Caribbean/Black British: Caribbean,wales,3809,81,86,55,139,27,61,114,214,187,275,299,434,573,360,200,108,136,178,146,77,59
Black/African/Caribbean/Black British: Other Black,wales,2580,318,170,110,229,37,93,82,185,217,219,151,195,203,110,70,46,43,31,31,17,23
Other ethnic group: Total,wales,15278,1629,890,445,898,170,394,533,1584,1810,1811,1488,974,751,627,407,281,212,126,99,78,71
Other ethnic group: Arab,wales,9615,1161,652,312,556,108,238,393,1099,1098,1060,850,576,421,372,248,147,115,80,53,45,31
Other ethnic group: Any other ethnic group,wales,5663,468,238,133,342,62,156,140,485,712,751,638,398,330,255,159,134,97,46,46,33,40
All categories: Ethnic group,west midlands,5601847,354801,200808,126252,340758,71823,146021,151468,380909,363286,343295,360103,406247,404030,351121,319685,335265,279804,225885,181119,135875,123292
White: Total,west midlands,4633669,251297,142900,91820,257920,55674,113446,117840,292541,274200,255970,284173,339302,351063,310844,287912,314746,264808,210428,169073,128635,119077
White: English/Welsh/Scottish/Northern Irish/British,west midlands,4434333,239504,138143,88926,250840,54221,110522,113749,275343,247799,233304,268737,326840,339505,300699,279082,306035,256905,202726,162597,123669,115187
White: Irish,west midlands,55216,757,488,370,1083,221,514,614,1588,1789,1840,2493,3294,4010,4122,4547,5373,5723,5758,4932,3382,2318
White: Gypsy or Irish Traveller,west midlands,4734,490,253,187,466,110,172,129,375,328,354,326,316,300,232,208,159,129,86,63,29,22
White: Other White,west midlands,139386,10546,4016,2337,5531,1122,2238,3348,15235,24284,20472,12617,8852,7248,5791,4075,3179,2051,1858,1481,1555,1550
Mixed/multiple ethnic group: Total,west midlands,131714,24402,12130,6742,16994,3342,6712,6502,13574,9857,7042,5695,5524,4888,2854,1568,1137,829,664,563,384,311
Mixed/multiple ethnic group: White and Black Caribbean,west midlands,68533,11050,5782,3451,9373,1938,3961,3693,7931,5388,3539,2869,2882,2631,1443,638,459,376,385,323,244,177
Mixed/multiple ethnic group: White and Black African,west midlands,9232,2220,940,411,960,142,326,345,701,668,609,573,377,336,265,146,64,69,35,17,13,15
Mixed/multiple ethnic group: White and Asian,west midlands,32561,6940,3347,1837,4167,791,1508,1575,3025,2174,1612,1262,1322,1074,646,446,336,187,102,100,49,61
Mixed/multiple ethnic group: Other Mixed,west midlands,21388,4192,2061,1043,2494,471,917,889,1917,1627,1282,991,943,847,500,338,278,197,142,123,78,58
Asian/Asian British: Total,west midlands,604435,57720,33611,20783,48875,9347,18844,19702,56706,59861,60031,51698,41912,28460,25028,22961,15210,10155,9626,7216,4236,2453
Asian/Asian British: Indian,west midlands,218439,14775,8511,5085,13264,2794,5489,6385,19171,21718,22013,19069,17201,13451,12015,11709,8571,5577,4919,3442,1982,1298
Asian/Asian British: Pakistani,west midlands,227248,27576,16356,10502,22773,4018,8138,7576,18801,22024,22293,17533,14155,7771,7381,6788,3551,2524,2826,2457,1476,729
Asian/Asian British: Bangladeshi,west midlands,52477,6474,4102,2514,5938,1089,1963,1893,4464,5007,4947,4465,2942,1805,1311,1088,611,506,706,406,185,61
Asian/Asian British: Chinese,west midlands,31274,1897,679,385,1233,353,1026,1521,7863,3728,2668,2178,1711,1652,1367,985,692,415,361,277,166,117
Asian/Asian British: Other Asian,west midlands,74997,6998,3963,2297,5667,1093,2228,2327,6407,7384,8110,8453,5903,3781,2954,2391,1785,1133,814,634,427,248
Black/African/Caribbean/Black British: Total,west midlands,182125,16129,9422,5389,13447,2798,5520,5882,13462,13832,14714,14007,16437,17208,10476,5490,3008,3200,4511,3721,2252,1220
Black/African/Caribbean/Black British: African,west midlands,64253,8346,4148,2187,5278,1100,2018,2473,5578,6133,7865,6892,5176,3046,1886,920,492,292,221,106,59,37
Black/African/Caribbean/Black British: Caribbean,west midlands,86794,4077,2890,1840,4982,1117,2325,2338,5638,5438,4873,5252,8306,10708,7151,4192,2291,2663,4038,3462,2086,1127
Black/African/Caribbean/Black British: Other Black,west midlands,31078,3706,2384,1362,3187,581,1177,1071,2246,2261,1976,1863,2955,3454,1439,378,225,245,252,153,107,56
Other ethnic group: Total,west midlands,49904,5253,2745,1518,3522,662,1499,1542,4626,5536,5538,4530,3072,2411,1919,1754,1164,812,656,546,368,231
Other ethnic group: Arab,west midlands,18079,2543,1327,738,1607,252,545,598,2045,2060,1845,1322,863,697,451,367,193,156,118,186,112,54
Other ethnic group: Any other ethnic group,west midlands,31825,2710,1418,780,1915,410,954,944,2581,3476,3693,3208,2209,1714,1468,1387,971,656,538,360,256,177
All categories: Ethnic group,yorkshire and the humber,5283733,328447,182818,114657,306096,65774,130943,151928,382679,347304,321328,337891,382902,381984,343804,305278,325329,252608,211241,170823,125598,114301
White: Total,yorkshire and the humber,4691956,259846,146134,92876,255714,56138,111796,130348,322435,288351,263789,290175,343922,355108,321845,288435,315326,245692,203855,165126,122417,112628
White: English/Welsh/Scottish/Northern Irish/British,yorkshire and the humber,4531137,249032,141777,90295,249435,54946,109217,126799,306286,263914,243768,276607,333610,346268,314142,282156,309924,241384,199873,161924,119725,110055
White: Irish,yorkshire and the humber,26410,368,271,162,487,95,209,405,1224,1212,1260,1432,1828,1914,1954,2304,2555,2459,2306,1823,1200,942
White: Gypsy or Irish Traveller,yorkshire and the humber,4378,460,281,180,412,71,145,130,371,380,369,286,306,278,195,155,131,87,65,39,20,17
White: Other White,yorkshire and the humber,130031,9986,3805,2239,5380,1026,2225,3014,14554,22845,18392,11850,8178,6648,5554,3820,2716,1762,1611,1340,1472,1614
Mixed/multiple ethnic group: Total,yorkshire and the humber,84558,15266,7276,4145,9775,1824,3741,4042,8848,6561,4979,4096,4220,3574,2087,1247,868,618,490,413,272,216
Mixed/multiple ethnic group: White and Black Caribbean,yorkshire and the humber,33241,4794,2620,1557,4232,864,1741,1882,3835,2695,1658,1507,1711,1574,800,397,368,251,255,250,132,118
Mixed/multiple ethnic group: White and Black African,yorkshire and the humber,9321,2420,942,428,845,145,269,321,743,714,635,470,388,358,281,165,61,54,35,21,13,13
Mixed/multiple ethnic group: White and Asian,yorkshire and the humber,26008,5138,2469,1450,3159,537,1133,1149,2651,1780,1468,1208,1317,960,568,366,228,149,107,63,56,52
Mixed/multiple ethnic group: Other Mixed,yorkshire and the humber,15988,2914,1245,710,1539,278,598,690,1619,1372,1218,911,804,682,438,319,211,164,93,79,71,33
Asian/Asian British: Total,yorkshire and the humber,385964,41472,23293,14445,32622,6271,12188,13482,40239,40138,39331,32021,24654,14966,14372,12525,7408,4714,5075,3722,2003,1023
Asian/Asian British: Indian,yorkshire and the humber,69252,5552,2923,1815,4278,848,1614,2097,6709,7674,7668,6176,4927,3600,3461,3161,2341,1532,1276,834,501,265
Asian/Asian British: Pakistani,yorkshire and the humber,225892,27586,16100,10165,22126,4153,7879,7660,19251,22667,22323,17293,13750,7482,7790,6947,3590,2223,2906,2262,1154,585
Asian/Asian British: Bangladeshi,yorkshire and the humber,22424,2926,1713,1154,2547,492,823,763,2069,2108,2218,1844,1166,639,511,450,248,187,281,178,90,17
Asian/Asian British: Chinese,yorkshire and the humber,28435,1650,586,286,939,259,771,1592,8401,3430,2206,1787,1493,1403,1163,892,553,340,290,207,116,71
Asian/Asian British: Other Asian,yorkshire and the humber,39961,3758,1971,1025,2732,519,1101,1370,3809,4259,4916,4921,3318,1842,1447,1075,676,432,322,241,142,85
Black/African/Caribbean/Black British: Total,yorkshire and the humber,80345,7304,3801,2053,5245,1059,2269,2806,6957,7071,7916,7516,7273,6742,4096,2066,1131,1243,1503,1300,670,324
Black/African/Caribbean/Black British: African,yorkshire and the humber,46033,5185,2461,1327,3315,674,1406,1803,4557,4918,5992,5258,3673,2342,1465,710,352,237,161,108,56,33
Black/African/Caribbean/Black British: Caribbean,yorkshire and the humber,23420,738,490,358,1117,225,499,642,1552,1375,1153,1450,2527,3235,2100,1180,674,899,1248,1119,574,265
Black/African/Caribbean/Black British: Other Black,yorkshire and the humber,10892,1381,850,368,813,160,364,361,848,778,771,808,1073,1165,531,176,105,107,94,73,40,26
Other ethnic group: Total,yorkshire and the humber,40910,4559,2314,1138,2740,482,949,1250,4200,5183,5313,4083,2833,1594,1404,1005,596,341,318,262,236,110
Other ethnic group: Arab,yorkshire and the humber,21340,2805,1521,734,1632,274,535,772,2430,2578,2230,1816,1411,741,647,397,218,140,139,149,118,53
Other ethnic group: Any other ethnic group,yorkshire and the humber,19570,1754,793,404,1108,208,414,478,1770,2605,3083,2267,1422,853,757,608,378,201,179,113,118,57
