ethnicity,region,total,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 and over
Asian/Asian British: Bangladeshi,east midlands,13258,1548,933,631,1408,289,453,446,1219,1300,1364,1190,747,493,344,296,144,143,160,97,37,16
Asian/Asian British: Chinese,east midlands,24404,940,489,264,909,252,737,1425,7563,2583,1693,1496,1357,1287,1117,846,593,281,255,179,86,52
Asian/Asian British: Other Asian,east midlands,37893,3251,1784,1004,2567,504,1030,1326,3693,3496,4126,4246,3053,2187,1732,1455,922,575,440,264,149,89
Black/African/Caribbean/Black British: Total,east midlands,81484,7279,3993,2190,5760,1175,2337,3144,6740,6167,7096,7128,7403,7318,4628,2452,1378,1304,1697,1214,706,375
Black/African/Caribbean/Black British: African,east midlands,41768,4778,2488,1233,3221,668,1338,1953,3969,3869,5016,4688,3445,2233,1381,687,370,167,151,65,32,16
Black/African/Caribbean/Black British: Caribbean,east midlands,28913,1011,641,464,1456,304,638,855,2083,1615,1466,1771,2988,3924,2698,1559,907,1020,1440,1089,643,341
Black/African/Caribbean/Black British: Other Black,east midlands,10803,1490,864,493,1083,203,361,336,688,683,614,669,970,1161,549,206,101,117,106,60,31,18
Other ethnic group: Total,east midlands,25735,2450,1192,685,1385,229,581,761,2583,3534,3262,2705,1732,1260,1020,885,555,329,230,153,103,101
Other ethnic group: Arab,east midlands,9746,1192,592,339,555,76,221,276,1190,1455,1175,1009,628,380,241,190,114,52,27,15,8,11
Other ethnic group: Any other ethnic group,east midlands,15989,1258,600,346,830,153,360,485,1393,2079,2087,1696,1104,880,779,695,441,277,203,138,95,90
All categories: Ethnic group,london,8173941,591495,301095,181714,456865,93599,186626,191434,629972,832966,796888,664046,610020,556656,461290,371936,342590,256772,216286,176831,131830,123030
White: Total,london,4887435,276913,134682,82364,214872,44622,90141,96302,344807,503711,480942,395762,363562,343947,296134,253531,258915,193746,156899,135774,109583,110226
White: English/Welsh/Scottish/Northern Irish/British,london,3669284,209792,105766,65672,175011,36637,75358,78954,254358,316960,284932,257222,265445,271644,240716,209275,218685,161655,130221,115815,95953,99213
White: Irish,london,175974,3512,1788,1255,3236,764,1423,1543,7665,14417,14041,12299,14044,14225,12748,12957,14302,13849,11948,9418,6209,4331
White: Gypsy or Irish Traveller,london,8196,916,520,312,883,180,346,268,737,717,591,585,558,456,362,245,190,137,91,57,23,22
White: Other White,london,1033981,62693,26608,15125,35742,7041,13014,15537,82047,171617,181378,125656,83515,57622,42308,31054,25738,18105,14639,10484,7398,6660
Mixed/multiple ethnic group: Total,london,405279,73129,32671,18371,43212,8010,15546,14207,36914,38262,30931,23126,20205,16630,10855,6656,4705,3783,3127,2334,1514,1091
Mixed/multiple ethnic group: White and Black Caribbean,london,119425,19646,9670,5965,15113,3021,5865,5609,12515,10163,6964,5377,5625,4924,3075,1436,971,948,958,748,498,334
Mixed/multiple ethnic group: White and Black African,london,65479,12935,5710,3166,7022,1263,2357,1916,5067,5321,4887,4135,3644,2926,1914,1252,705,517,322,213,128,79
Mixed/multiple ethnic group: White and Asian,london,101500,19818,8306,4376,9604,1757,3395,3134,9334,10095,8027,5827,4909,4000,2505,1788,1350,1017,818,655,435,350
Mixed/multiple ethnic group: Other Mixed,london,118875,20730,8985,4864,11473,1969,3929,3548,9998,12683,11053,7787,6027,4780,3361,2180,1679,1301,1029,718,453,328
Asian/Asian British: Total,london,1511546,113941,61631,37273,90104,18572,37247,41343,143922,177492,169616,135627,105673,84828,77012,65554,48798,33835,30790,20955,10961,6372
Asian/Asian British: Indian,london,542857,32517,15644,9429,24177,5319,10915,12075,45758,69101,63827,45026,35803,32780,34254,30382,22844,16392,15324,11250,6242,3798
Asian/Asian British: Pakistani,london,223797,21738,12092,7325,16518,3246,6564,7120,21853,25062,23612,18175,15433,10859,9415,7573,5279,4200,4005,2307,975,446
